,S.No,Time,Call
0,0,0.006676,Add enb
1,1,0.002543,Create slice
2,2,0.003654,Bind slice
3,3,0.002858,Create slice
4,4,0.019528,Bind Slice
5,5,0.000868,Create slice
6,6,0.003659,Bind slice
7,7,0.002542,Create UE
8,8,0.003263,Bind UE
9,9,0.000661,Create UE
10,10,0.003635,Bind UE
11,11,0.003646,slice change
12,12,0.003622,slice change
13,13,0.003647,slice change
14,14,0.003611,slice change
15,15,0.003739,slice change
16,16,0.001716,slice change
17,17,0.003616,slice change
18,18,0.003704,slice change
19,19,0.002124,slice change
20,20,0.003415,slice change
21,21,0.003673,slice change
22,22,0.003453,slice change
23,23,0.003646,slice change
24,24,0.00331,slice change
25,25,0.003741,slice change
26,26,0.003618,slice change
27,27,0.0036,slice change
28,28,0.003658,slice change
29,29,0.003628,slice change
30,30,0.003622,slice change
31,31,0.003559,slice change
32,32,0.003784,slice change
33,33,0.003617,slice change
34,34,0.003651,slice change
35,35,0.003655,slice change
36,36,0.003723,slice change
37,37,0.003637,slice change
38,38,0.003679,slice change
39,39,0.003707,slice change
40,40,0.003676,slice change
41,41,0.003391,slice change
42,42,0.003491,slice change
43,43,0.003653,slice change
44,44,0.003597,slice change
45,45,0.003497,slice change
46,46,0.003631,slice change
47,47,0.003626,slice change
48,48,0.00363,slice change
49,49,0.003674,slice change
50,50,0.003644,slice change
51,51,0.003709,slice change
52,52,0.003629,slice change
53,53,0.003599,slice change
54,54,0.003644,slice change
55,55,0.003576,slice change
56,56,0.001642,slice change
57,57,0.003633,slice change
58,58,0.003313,slice change
59,59,0.003662,slice change
60,60,0.001012,slice change
61,61,0.003663,slice change
62,62,0.000961,slice change
63,63,0.003642,slice change
64,64,0.003663,slice change
65,65,0.003537,slice change
66,66,0.003457,slice change
67,67,0.003778,slice change
68,68,0.003649,slice change
69,69,0.0039,slice change
70,70,0.001641,slice change
71,71,0.003519,slice change
72,72,0.00359,slice change
73,73,0.002659,slice change
74,74,0.00104,slice change
75,75,0.004577,slice change
76,76,0.003591,slice change
77,77,0.003437,slice change
78,78,0.00362,slice change
79,79,0.003617,slice change
80,80,0.003562,slice change
81,81,0.001249,slice change
82,82,0.003646,slice change
83,83,0.003636,slice change
84,84,0.001372,slice change
85,85,0.003664,slice change
86,86,0.003644,slice change
87,87,0.003659,slice change
88,88,0.003613,slice change
89,89,0.003577,slice change
90,90,0.00374,slice change
91,91,0.003587,slice change
92,92,0.003636,slice change
93,93,0.003617,slice change
94,94,0.003619,slice change
95,95,0.003558,slice change
96,96,0.003587,slice change
97,97,0.003642,slice change
98,98,0.003578,slice change
99,99,0.003638,slice change
100,100,0.003635,slice change
101,101,0.003691,slice change
102,102,0.003849,slice change
103,103,0.003666,slice change
104,104,0.003635,slice change
105,105,0.003684,slice change
106,106,0.003681,slice change
107,107,0.003612,slice change
108,108,0.000952,slice change
109,109,0.003606,slice change
110,110,0.00334,slice change
111,111,0.003682,slice change
112,112,0.003606,slice change
113,113,0.001393,slice change
114,114,0.00344,slice change
115,115,0.003685,slice change
116,116,0.003615,slice change
117,117,0.003609,slice change
118,118,0.003577,slice change
119,119,0.003618,slice change
120,120,0.00361,slice change
121,121,0.003664,slice change
122,122,0.00249,slice change
123,123,0.00107,slice change
124,124,0.003648,slice change
125,125,0.003597,slice change
126,126,0.003678,slice change
127,127,0.003604,slice change
128,128,0.003578,slice change
129,129,0.003671,slice change
130,130,0.001361,slice change
131,131,0.001,slice change
132,132,0.003273,slice change
133,133,0.003612,slice change
134,134,0.003472,slice change
135,135,0.003556,slice change
136,136,0.001097,slice change
137,137,0.003543,slice change
138,138,0.003387,slice change
139,139,0.003639,slice change
140,140,0.003701,slice change
141,141,0.003644,slice change
142,142,0.003616,slice change
143,143,0.003585,slice change
144,144,0.002366,slice change
145,145,0.000991,slice change
146,146,0.001064,slice change
147,147,0.003679,slice change
148,148,0.000975,slice change
149,149,0.003461,slice change
150,150,0.003624,slice change
151,151,0.003696,slice change
152,152,0.003561,slice change
153,153,0.003663,slice change
154,154,0.00366,slice change
155,155,0.003556,slice change
156,156,0.000962,slice change
157,157,0.003616,slice change
158,158,0.003527,slice change
159,159,0.003681,slice change
160,160,0.00249,slice change
161,161,0.003585,slice change
162,162,0.001053,slice change
163,163,0.003733,slice change
164,164,0.003653,slice change
165,165,0.003579,slice change
166,166,0.003575,slice change
167,167,0.003999,slice change
168,168,0.003618,slice change
169,169,0.0036,slice change
170,170,0.003584,slice change
171,171,0.003592,slice change
172,172,0.003677,slice change
173,173,0.003552,slice change
174,174,0.003608,slice change
175,175,0.003623,slice change
176,176,0.003635,slice change
177,177,0.003392,slice change
178,178,0.00356,slice change
179,179,0.003331,slice change
180,180,0.00369,slice change
181,181,0.003691,slice change
182,182,0.003541,slice change
183,183,0.003662,slice change
184,184,0.003636,slice change
185,185,0.003642,slice change
186,186,0.003565,slice change
187,187,0.003663,slice change
188,188,0.003648,slice change
189,189,0.003817,slice change
190,190,0.003679,slice change
191,191,0.003654,slice change
192,192,0.003607,slice change
193,193,0.003635,slice change
194,194,0.001121,slice change
195,195,0.001957,slice change
196,196,0.002687,slice change
197,197,0.003635,slice change
198,198,0.003674,slice change
199,199,0.001181,slice change
200,200,0.003618,slice change
201,201,0.008573,slice change
202,202,0.003633,slice change
203,203,0.003613,slice change
204,204,0.003592,slice change
205,205,0.003695,slice change
206,206,0.001548,slice change
207,207,0.003571,slice change
208,208,0.003592,slice change
209,209,0.003602,slice change
210,210,0.000984,slice change
211,211,0.003563,slice change
212,212,0.003545,slice change
213,213,0.017505,slice change
214,214,0.003616,slice change
215,215,0.003648,slice change
216,216,0.003706,slice change
217,217,0.003651,slice change
218,218,0.002842,slice change
219,219,0.003624,slice change
220,220,0.001045,slice change
221,221,0.001722,slice change
222,222,0.003634,slice change
223,223,0.003629,slice change
224,224,0.003624,slice change
225,225,0.003696,slice change
226,226,0.003657,slice change
227,227,0.00375,slice change
228,228,0.003636,slice change
229,229,0.003607,slice change
230,230,0.003547,slice change
231,231,0.003572,slice change
232,232,0.00356,slice change
233,233,0.00366,slice change
234,234,0.003696,slice change
235,235,0.003734,slice change
236,236,0.003585,slice change
237,237,0.003767,slice change
238,238,0.003681,slice change
239,239,0.003712,slice change
240,240,0.003292,slice change
241,241,0.003708,slice change
242,242,0.00188,slice change
243,243,0.003673,slice change
244,244,0.00364,slice change
245,245,0.003701,slice change
246,246,0.003539,slice change
247,247,0.003627,slice change
248,248,0.003515,slice change
249,249,0.003527,slice change
250,250,0.003613,slice change
251,251,0.003572,slice change
252,252,0.003629,slice change
253,253,0.003654,slice change
254,254,0.003623,slice change
255,255,0.00365,slice change
256,256,0.003657,slice change
257,257,0.003586,slice change
258,258,0.003713,slice change
259,259,0.003683,slice change
260,260,0.003552,slice change
261,261,0.003603,slice change
262,262,0.003633,slice change
263,263,0.00361,slice change
264,264,0.003733,slice change
265,265,0.002157,slice change
266,266,0.001668,slice change
267,267,0.003639,slice change
268,268,0.00368,slice change
269,269,0.003612,slice change
270,270,0.003584,slice change
271,271,0.001718,slice change
272,272,0.003601,slice change
273,273,0.003622,slice change
274,274,0.00098,slice change
275,275,0.000969,slice change
276,276,0.003584,slice change
277,277,0.003836,slice change
278,278,0.007452,slice change
279,279,0.003624,slice change
280,280,0.003603,slice change
281,281,0.003662,slice change
282,282,0.001655,slice change
283,283,0.00366,slice change
284,284,0.003659,slice change
285,285,0.003657,slice change
286,286,0.003713,slice change
287,287,0.003634,slice change
288,288,0.003538,slice change
289,289,0.003695,slice change
290,290,0.003572,slice change
291,291,0.003649,slice change
292,292,0.001059,slice change
293,293,0.001022,slice change
294,294,0.000895,slice change
295,295,0.003676,slice change
296,296,0.003661,slice change
297,297,0.003666,slice change
298,298,0.003677,slice change
299,299,0.003664,slice change
300,300,0.003631,slice change
301,301,0.003625,slice change
302,302,0.003582,slice change
