,S.No,Time
0,0.0,0.792535
1,1.0,0.489381
2,2.0,0.768966
3,3.0,0.48719
4,4.0,0.747711
5,5.0,0.494957
6,6.0,0.725814
7,7.0,0.473442
8,8.0,0.678427
9,9.0,0.490625
10,10.0,0.641231
11,11.0,0.49398
12,12.0,0.6908
13,13.0,0.423384
14,14.0,0.586054
15,15.0,0.49156
16,16.0,0.563177
17,17.0,0.492116
18,18.0,0.505491
19,19.0,0.484803
20,20.0,0.494441
21,21.0,0.486826
22,22.0,0.47167
23,23.0,0.058466
24,24.0,0.449312
25,25.0,0.049473
26,26.0,0.412014
27,27.0,0.051832
28,28.0,0.389604
29,29.0,0.050155
30,30.0,0.350721
31,31.0,0.048373
32,32.0,0.331453
33,33.0,0.055099
34,34.0,1.293669
35,35.0,0.490269
36,36.0,0.265683
37,37.0,0.05618
38,38.0,0.237632
39,39.0,0.049509
40,40.0,0.2109
41,41.0,0.047156
42,42.0,0.169767
43,43.0,0.050062
44,44.0,0.154261
45,45.0,0.048375
46,46.0,0.137249
47,47.0,0.055619
48,48.0,0.099045
49,49.0,0.049932
50,50.0,0.063195
51,51.0,0.050592
52,52.0,1.041613
53,53.0,0.489344
54,54.0,1.09962
55,55.0,0.401121
56,56.0,0.993064
57,57.0,0.486049
58,58.0,0.95984
59,59.0,0.498361
60,60.0,0.940427
61,61.0,0.489025
62,62.0,0.912841
63,63.0,0.488338
64,64.0,0.894676
65,65.0,0.483322
66,66.0,0.860555
67,67.0,0.496709
68,68.0,0.836848
69,69.0,0.485183
70,70.0,0.810111
71,71.0,0.483383
72,72.0,0.778251
73,73.0,0.489444
74,74.0,0.74579
75,75.0,0.490111
76,76.0,0.721923
77,77.0,0.488197
78,78.0,0.693541
79,79.0,0.492733
80,80.0,0.664129
81,81.0,0.487525
82,82.0,0.626402
83,83.0,0.494179
84,84.0,0.617346
85,85.0,0.574794
86,86.0,0.579606
87,87.0,0.491311
88,88.0,0.556627
89,89.0,0.483743
90,90.0,0.527752
91,91.0,0.49221
92,92.0,0.499281
93,93.0,0.484783
94,94.0,0.472914
95,95.0,0.053129
96,96.0,0.448773
97,97.0,0.055175
98,98.0,0.436414
99,99.0,0.051956
100,100.0,0.394724
101,101.0,0.053382
